;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
cair;;O vaso caiu no chão.;I;caio;cais;cai;caímos;caís;caem;caí;caíste;caiu;caímos;caístes;caíram;caía;caías;caía;caíamos;caíeis;caíam;caíra;caíras;caíra;caíramos;caíreis;caíram;cairei;cairás;cairá;cairemos;caireis;cairão;caia;caias;caia;caiamos;caiais;caiam;caísse;caísses;caísse;caíssemos;caísseis;caíssem;cair;caíres;cair;cairmos;cairdes;caírem;cair;caíres;cair;cairmos;cairdes;caírem;cairia;cairias;cairia;cairíamos;cairíeis;cairiam;cai;caia;caiamos;caí;caiam;caias;caia;caiamos;caiais;caiam;caindo;caído
pôr;;Ela põe todas as suas moedas no cofrinho.;I;ponho;pões;põe;pomos;pondes;põem;pus;puseste;pôs;pusemos;pusestes;puseram;punha;punhas;punha;púnhamos;púnheis;punham;pusera;puseras;pusera;puséramos;puséreis;puseram;porei;porás;porá;poremos;poreis;porão;ponha;ponhas;ponha;ponhamos;ponhais;ponham;pusesse;pusesses;pusesse;puséssemos;pusésseis;pusessem;puser;puseres;puser;pusermos;puserdes;puserem;pôr;pores;pôr;pormos;pordes;porem;poria;porias;poria;poríamos;poríeis;poriam;põe;ponha;ponhamos;ponde;ponham;ponhas;ponha;ponhamos;ponhais;ponham;pondo;posto
ver;;Eu vejo dois pássaros no céu.;I;vejo;vês;vê;vemos;vedes;veem;vi;viste;viu;vimos;vistes;viram;via;vias;via;víamos;víeis;viam;vira;viras;vira;víramos;víreis;viram;verei;verás;verá;veremos;vereis;verão;veja;vejas;veja;vejamos;vejais;vejam;visse;visses;visse;víssemos;vísseis;vissem;vir;vires;vir;virmos;virdes;virem;ver;veres;ver;vermos;verdes;verem;veria;verias;veria;veríamos;veríeis;veriam;vê;veja;vejamos;vede;vejam;vejas;veja;vejamos;vejais;vejam;vendo;visto
haver;;Para todo problema há uma solução.;I;hei;hás;há;havemos;haveis;hão;houve;houveste;houve;houvemos;houvestes;houveram;havia;havias;havia;havíamos;havíeis;haviam;houvera;houveras;houvera;houvéramos;houvéreis;houveram;haverei;haverás;haverá;haveremos;havereis;haverão;haja;hajas;haja;hajamos;hajais;hajam;houvesse;houvesses;houvesse;houvéssemos;houvésseis;houvessem;houver;houveres;houver;houvermos;houverdes;houverem;haver;haveres;haver;havermos;haverdes;haverem;haveria;haverias;haveria;haveríamos;haveríeis;haveriam;;haja;hajamos;havei;hajam;hajas;haja;hajamos;hajais;hajam;havendo;havido
dar;;Ela dá aula de alemão.;I;dou;dás;dá;damos;dais;dão;dei;deste;deu;demos;destes;deram;dava;davas;dava;dávamos;dáveis;davam;dera;deras;dera;déramos;déreis;deram;darei;darás;dará;daremos;dareis;darão;dê;dês;dê;demos;deis;deem;desse;desses;desse;déssemos;désseis;dessem;der;deres;der;dermos;derdes;derem;dar;dares;dar;darmos;dardes;darem;daria;darias;daria;daríamos;daríeis;dariam;dá;dê;demos;dai;deem;dês;dê;demos;deis;deem;dando;dado
ficar;;Onde fica o restaurante?;R;fico;ficas;fica;ficamos;ficais;ficam;fiquei;ficaste;ficou;fiquámos;ficastes;ficaram;ficava;ficavas;ficava;fiquávamos;fiquáveis;ficavam;ficara;ficaras;ficara;fiquáramos;fiquáreis;ficaram;ficarei;ficarás;ficará;ficaremos;ficareis;ficarão;fique;fiques;fique;fiquemos;fiqueis;fiquem;ficasse;ficasses;ficasse;fiquássemos;fiquásseis;ficassem;ficar;ficares;ficar;ficarmos;ficardes;ficarem;ficar;ficares;ficar;ficarmos;ficardes;ficarem;ficaria;ficarias;ficaria;ficaríamos;ficaríeis;ficariam;fica;fique;fiquemos;ficai;fiquem;fiques;fique;fiquemos;fiqueis;fiquem;ficando;ficado
dever;;Já devem ser umas 18:00.;R;devo;deves;deve;devemos;deveis;devem;devi;deveste;deveu;devemos;devestes;deveram;devia;devias;devia;devíamos;devíeis;deviam;devera;deveras;devera;devêramos;devêreis;deveram;deverei;deverás;deverá;deveremos;devereis;deverão;deva;devas;deva;devamos;devais;devam;devesse;devesses;devesse;devêssemos;devêsseis;devessem;dever;deveres;dever;devermos;deverdes;deverem;dever;deveres;dever;devermos;deverdes;deverem;deveria;deverias;deveria;deveríamos;deveríeis;deveriam;deve;deva;devamos;devei;devam;devas;deva;devamos;devais;devam;devendo;devido
passar;;Passo por essa rua todos os dias a caminho da escola.;R;passo;passas;passa;passamos;passais;passam;passei;passaste;passou;passámos;passastes;passaram;passava;passavas;passava;passávamos;passáveis;passavam;passara;passaras;passara;passáramos;passáreis;passaram;passarei;passarás;passará;passaremos;passareis;passarão;passe;passes;passe;passemos;passeis;passem;passasse;passasses;passasse;passássemos;passásseis;passassem;passar;passares;passar;passarmos;passardes;passarem;passar;passares;passar;passarmos;passardes;passarem;passaria;passarias;passaria;passaríamos;passaríeis;passariam;passa;passe;passemos;passai;passem;passes;passe;passemos;passeis;passem;passando;passado
chegar;;Você chega logo.;I;chego;chegas;chega;chegamos;chegais;chegam;cheguei;chegaste;chegou;chegámos;chegastes;chegaram;chegava;chegavas;chegava;chegávamos;chegáveis;chegavam;chegara;chegaras;chegara;chegáramos;chegáreis;chegaram;chegarei;chegarás;chegará;chegaremos;chegareis;chegarão;chegue;chegues;chegue;cheguemos;chegueis;cheguem;chegasse;chegasses;chegasse;chegássemos;chegásseis;chegassem;chegar;chegares;chegar;chegarmos;chegardes;chegarem;chegar;chegares;chegar;chegarmos;chegardes;chegarem;chegaria;chegarias;chegaria;chegaríamos;chegaríeis;chegariam;chega;chegue;cheguemos;chegai;cheguem;chegues;chegue;cheguemos;chegueis;cheguem;chegando;chegado
falar;;Você fala Português?;R;falo;falas;fala;falamos;falais;falam;falei;falaste;falou;falámos;falastes;falaram;falava;falavas;falava;falávamos;faláveis;falavam;falara;falaras;falara;faláramos;faláreis;falaram;falarei;falarás;falará;falaremos;falareis;falarão;fale;fales;fale;falemos;faleis;falem;falasse;falasses;falasse;falássemos;falásseis;falassem;falar;falares;falar;falarmos;falardes;falarem;falar;falares;falar;falarmos;falardes;falarem;falaria;falarias;falaria;falaríamos;falaríeis;falariam;fala;fale;falemos;falai;falem;fales;fale;falemos;faleis;falem;falando;falado
