;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
modificar;;;I;modifico;modificas;modifica;modificamos;modificais;modificam;modifiquei;modificaste;modificou;modificámos;modificastes;modificaram;modificava;modificavas;modificava;modificávamos;modificáveis;modificavam;modificara;modificaras;modificara;modificáramos;modificáreis;modificaram;modificarei;modificarás;modificará;modificaremos;modificareis;modificarão;modifique;modifiques;modifique;modifiquemos;modifiqueis;modifiquem;modificasse;modificasses;modificasse;modificássemos;modificásseis;modificassem;modificar;modificares;modificar;modificarmos;modificardes;modificarem;modificar;modificares;modificar;modificarmos;modificardes;modificarem;modificaria;modificarias;modificaria;modificaríamos;modificaríeis;modificariam;modifica;modifique;modifiquemos;modificai;modifiquem;modifiques;modifique;modifiquemos;modifiqueis;modifiquem;modificando;modificado
combinar;;;R;combino;combinas;combina;combinamos;combinais;combinam;combinei;combinaste;combinou;combinámos;combinastes;combinaram;combinava;combinavas;combinava;combinávamos;combináveis;combinavam;combinara;combinaras;combinara;combináramos;combináreis;combinaram;combinarei;combinarás;combinará;combinaremos;combinareis;combinarão;combine;combines;combine;combinemos;combineis;combinem;combinasse;combinasses;combinasse;combinássemos;combinásseis;combinassem;combinar;combinares;combinar;combinarmos;combinardes;combinarem;combinar;combinares;combinar;combinarmos;combinardes;combinarem;combinaria;combinarias;combinaria;combinaríamos;combinaríeis;combinariam;combina;combine;combinemos;combinai;combinem;combines;combine;combinemos;combineis;combinem;combinando;combinado
classificar;;;R;classifico;classificas;classifica;classificamos;classificais;classificam;classifiquei;classificaste;classificou;classifiquámos;classificastes;classificaram;classificava;classificavas;classificava;classifiquávamos;classifiquáveis;classificavam;classificara;classificaras;classificara;classifiquáramos;classifiquáreis;classificaram;classificarei;classificarás;classificará;classificaremos;classificareis;classificarão;classifique;classifiques;classifique;classifiquemos;classifiqueis;classifiquem;classificasse;classificasses;classificasse;classifiquássemos;classifiquásseis;classificassem;classificar;classificares;classificar;classificarmos;classificardes;classificarem;classificar;classificares;classificar;classificarmos;classificardes;classificarem;classificaria;classificarias;classificaria;classificaríamos;classificaríeis;classificariam;classifica;classifique;classifiquemos;classificai;classifiquem;classifiques;classifique;classifiquemos;classifiqueis;classifiquem;classificando;classificado
exibir;;;R;exibo;exibes;exibe;exibimos;exibis;exibem;exibi;exibiste;exibiu;exibimos;exibistes;exibiram;exibia;exibias;exibia;exibíamos;exibíeis;exibiam;exibira;exibiras;exibira;exibíramos;exibíreis;exibiram;exibirei;exibirás;exibirá;exibiremos;exibireis;exibirão;exiba;exibas;exiba;exibamos;exibais;exibam;exibisse;exibisses;exibisse;exibíssemos;exibísseis;exibissem;exibir;exibires;exibir;exibirmos;exibirdes;exibirem;exibir;exibires;exibir;exibirmos;exibirdes;exibirem;exibiria;exibirias;exibiria;exibiríamos;exibiríeis;exibiriam;exibe;exiba;exibamos;exibi;exibam;exibas;exiba;exibamos;exibais;exibam;exibindo;exibido
conferir;;;I;confiro;conferes;confere;conferimos;conferis;conferem;conferi;conferiste;conferiu;conferimos;conferistes;conferiram;conferia;conferias;conferia;conferíamos;conferíeis;conferiam;conferira;conferiras;conferira;conferíramos;conferíreis;conferiram;conferirei;conferirás;conferirá;conferiremos;conferireis;conferirão;confira;confiras;confira;confiramos;confirais;confiram;conferisse;conferisses;conferisse;conferíssemos;conferísseis;conferissem;conferir;conferires;conferir;conferirmos;conferirdes;conferirem;conferir;conferires;conferir;conferirmos;conferirdes;conferirem;conferiria;conferirias;conferiria;conferiríamos;conferiríeis;confeririam;confere;confira;confiramos;conferi;confiram;confiras;confira;confiramos;confirais;confiram;conferindo;conferido
contemplar;;;R;contemplo;contemplas;contempla;contemplamos;contemplais;contemplam;contemplei;contemplaste;contemplou;contemplámos;contemplastes;contemplaram;contemplava;contemplavas;contemplava;contemplávamos;contempláveis;contemplavam;contemplara;contemplaras;contemplara;contempláramos;contempláreis;contemplaram;contemplarei;contemplarás;contemplará;contemplaremos;contemplareis;contemplarão;contemple;contemples;contemple;contemplemos;contempleis;contemplem;contemplasse;contemplasses;contemplasse;contemplássemos;contemplásseis;contemplassem;contemplar;contemplares;contemplar;contemplarmos;contemplardes;contemplarem;contemplar;contemplares;contemplar;contemplarmos;contemplardes;contemplarem;contemplaria;contemplarias;contemplaria;contemplaríamos;contemplaríeis;contemplariam;contempla;contemple;contemplemos;contemplai;contemplem;contemples;contemple;contemplemos;contempleis;contemplem;contemplando;contemplado
beneficiar;;;R;beneficio;beneficias;beneficia;beneficiamos;beneficiais;beneficiam;beneficiei;beneficiaste;beneficiou;beneficiámos;beneficiastes;beneficiaram;beneficiava;beneficiavas;beneficiava;beneficiávamos;beneficiáveis;beneficiavam;beneficiara;beneficiaras;beneficiara;beneficiáramos;beneficiáreis;beneficiaram;beneficiarei;beneficiarás;beneficiará;beneficiaremos;beneficiareis;beneficiarão;beneficie;beneficies;beneficie;beneficiemos;beneficieis;beneficiem;beneficiasse;beneficiasses;beneficiasse;beneficiássemos;beneficiásseis;beneficiassem;beneficiar;beneficiares;beneficiar;beneficiarmos;beneficiardes;beneficiarem;beneficiar;beneficiares;beneficiar;beneficiarmos;beneficiardes;beneficiarem;beneficiaria;beneficiarias;beneficiaria;beneficiaríamos;beneficiaríeis;beneficiariam;beneficia;beneficie;beneficiemos;beneficiai;beneficiem;beneficies;beneficie;beneficiemos;beneficieis;beneficiem;beneficiando;beneficiado
queimar;;;R;queimo;queimas;queima;queimamos;queimais;queimam;queimei;queimaste;queimou;queimámos;queimastes;queimaram;queimava;queimavas;queimava;queimávamos;queimáveis;queimavam;queimara;queimaras;queimara;queimáramos;queimáreis;queimaram;queimarei;queimarás;queimará;queimaremos;queimareis;queimarão;queime;queimes;queime;queimemos;queimeis;queimem;queimasse;queimasses;queimasse;queimássemos;queimásseis;queimassem;queimar;queimares;queimar;queimarmos;queimardes;queimarem;queimar;queimares;queimar;queimarmos;queimardes;queimarem;queimaria;queimarias;queimaria;queimaríamos;queimaríeis;queimariam;queima;queime;queimemos;queimai;queimem;queimes;queime;queimemos;queimeis;queimem;queimando;queimado
sobreviver;;;R;sobrevivo;sobrevives;sobrevive;sobrevivemos;sobreviveis;sobrevivem;sobrevivi;sobreviveste;sobreviveu;sobrevivemos;sobrevivestes;sobreviveram;sobrevivia;sobrevivias;sobrevivia;sobrevivíamos;sobrevivíeis;sobreviviam;sobrevivera;sobreviveras;sobrevivera;sobrevivêramos;sobrevivêreis;sobreviveram;sobreviverei;sobreviverás;sobreviverá;sobreviveremos;sobrevivereis;sobreviverão;sobreviva;sobrevivas;sobreviva;sobrevivamos;sobrevivais;sobrevivam;sobrevivesse;sobrevivesses;sobrevivesse;sobrevivêssemos;sobrevivêsseis;sobrevivessem;sobreviver;sobreviveres;sobreviver;sobrevivermos;sobreviverdes;sobreviverem;sobreviver;sobreviveres;sobreviver;sobrevivermos;sobreviverdes;sobreviverem;sobreviveria;sobreviverias;sobreviveria;sobreviveríamos;sobreviveríeis;sobreviveriam;sobrevive;sobreviva;sobrevivamos;sobrevivei;sobrevivam;sobrevivas;sobreviva;sobrevivamos;sobrevivais;sobrevivam;sobrevivendo;sobrevivido
adaptar;;;R;adapto;adaptas;adapta;adaptamos;adaptais;adaptam;adaptei;adaptaste;adaptou;adaptámos;adaptastes;adaptaram;adaptava;adaptavas;adaptava;adaptávamos;adaptáveis;adaptavam;adaptara;adaptaras;adaptara;adaptáramos;adaptáreis;adaptaram;adaptarei;adaptarás;adaptará;adaptaremos;adaptareis;adaptarão;adapte;adaptes;adapte;adaptemos;adapteis;adaptem;adaptasse;adaptasses;adaptasse;adaptássemos;adaptásseis;adaptassem;adaptar;adaptares;adaptar;adaptarmos;adaptardes;adaptarem;adaptar;adaptares;adaptar;adaptarmos;adaptardes;adaptarem;adaptaria;adaptarias;adaptaria;adaptaríamos;adaptaríeis;adaptariam;adapta;adapte;adaptemos;adaptai;adaptem;adaptes;adapte;adaptemos;adapteis;adaptem;adaptando;adaptado
situar;;;R;situo;situas;situa;situamos;situais;situam;situei;situaste;situou;situámos;situastes;situaram;situava;situavas;situava;situávamos;situáveis;situavam;situara;situaras;situara;situáramos;situáreis;situaram;situarei;situarás;situará;situaremos;situareis;situarão;situe;situes;situe;situemos;situeis;situem;situasse;situasses;situasse;situássemos;situásseis;situassem;situar;situares;situar;situarmos;situardes;situarem;situar;situares;situar;situarmos;situardes;situarem;situaria;situarias;situaria;situaríamos;situaríeis;situariam;situa;situe;situemos;situai;situem;situes;situe;situemos;situeis;situem;situando;situado
projectar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rejeitar;;;R;rejeito;rejeitas;rejeita;rejeitamos;rejeitais;rejeitam;rejeitei;rejeitaste;rejeitou;rejeitámos;rejeitastes;rejeitaram;rejeitava;rejeitavas;rejeitava;rejeitávamos;rejeitáveis;rejeitavam;rejeitara;rejeitaras;rejeitara;rejeitáramos;rejeitáreis;rejeitaram;rejeitarei;rejeitarás;rejeitará;rejeitaremos;rejeitareis;rejeitarão;rejeite;rejeites;rejeite;rejeitemos;rejeiteis;rejeitem;rejeitasse;rejeitasses;rejeitasse;rejeitássemos;rejeitásseis;rejeitassem;rejeitar;rejeitares;rejeitar;rejeitarmos;rejeitardes;rejeitarem;rejeitar;rejeitares;rejeitar;rejeitarmos;rejeitardes;rejeitarem;rejeitaria;rejeitarias;rejeitaria;rejeitaríamos;rejeitaríeis;rejeitariam;rejeita;rejeite;rejeitemos;rejeitai;rejeitem;rejeites;rejeite;rejeitemos;rejeiteis;rejeitem;rejeitando;rejeitado
tremer;;;R;tremo;tremes;treme;trememos;tremeis;tremem;tremi;tremeste;tremeu;trememos;tremestes;tremeram;tremia;tremias;tremia;tremíamos;tremíeis;tremiam;tremera;tremeras;tremera;tremêramos;tremêreis;tremeram;tremerei;tremerás;tremerá;tremeremos;tremereis;tremerão;trema;tremas;trema;tremamos;tremais;tremam;tremesse;tremesses;tremesse;tremêssemos;tremêsseis;tremessem;tremer;tremeres;tremer;tremermos;tremerdes;tremerem;tremer;tremeres;tremer;tremermos;tremerdes;tremerem;tremeria;tremerias;tremeria;tremeríamos;tremeríeis;tremeriam;treme;trema;tremamos;tremei;tremam;tremas;trema;tremamos;tremais;tremam;tremendo;tremido
lavar;;;R;lavo;lavas;lava;lavamos;lavais;lavam;lavei;lavaste;lavou;lavámos;lavastes;lavaram;lavava;lavavas;lavava;lavávamos;laváveis;lavavam;lavara;lavaras;lavara;laváramos;laváreis;lavaram;lavarei;lavarás;lavará;lavaremos;lavareis;lavarão;lave;laves;lave;lavemos;laveis;lavem;lavasse;lavasses;lavasse;lavássemos;lavásseis;lavassem;lavar;lavares;lavar;lavarmos;lavardes;lavarem;lavar;lavares;lavar;lavarmos;lavardes;lavarem;lavaria;lavarias;lavaria;lavaríamos;lavaríeis;lavariam;lava;lave;lavemos;lavai;lavem;laves;lave;lavemos;laveis;lavem;lavando;lavado
frequentar;;;R;frequento;frequentas;frequenta;frequentamos;frequentais;frequentam;frequentei;frequentaste;frequentou;frequentámos;frequentastes;frequentaram;frequentava;frequentavas;frequentava;frequentávamos;frequentáveis;frequentavam;frequentara;frequentaras;frequentara;frequentáramos;frequentáreis;frequentaram;frequentarei;frequentarás;frequentará;frequentaremos;frequentareis;frequentarão;frequente;frequentes;frequente;frequentemos;frequenteis;frequentem;frequentasse;frequentasses;frequentasse;frequentássemos;frequentásseis;frequentassem;frequentar;frequentares;frequentar;frequentarmos;frequentardes;frequentarem;frequentar;frequentares;frequentar;frequentarmos;frequentardes;frequentarem;frequentaria;frequentarias;frequentaria;frequentaríamos;frequentaríeis;frequentariam;frequenta;frequente;frequentemos;frequentai;frequentem;frequentes;frequente;frequentemos;frequenteis;frequentem;frequentando;frequentado
convocar;;;R;convoco;convocas;convoca;convocamos;convocais;convocam;convoquei;convocaste;convocou;convoquámos;convocastes;convocaram;convocava;convocavas;convocava;convoquávamos;convoquáveis;convocavam;convocara;convocaras;convocara;convoquáramos;convoquáreis;convocaram;convocarei;convocarás;convocará;convocaremos;convocareis;convocarão;convoque;convoques;convoque;convoquemos;convoqueis;convoquem;convocasse;convocasses;convocasse;convoquássemos;convoquásseis;convocassem;convocar;convocares;convocar;convocarmos;convocardes;convocarem;convocar;convocares;convocar;convocarmos;convocardes;convocarem;convocaria;convocarias;convocaria;convocaríamos;convocaríeis;convocariam;convoca;convoque;convoquemos;convocai;convoquem;convoques;convoque;convoquemos;convoqueis;convoquem;convocando;convocado
acertar;;;R;acerto;acertas;acerta;acertamos;acertais;acertam;acertei;acertaste;acertou;acertámos;acertastes;acertaram;acertava;acertavas;acertava;acertávamos;acertáveis;acertavam;acertara;acertaras;acertara;acertáramos;acertáreis;acertaram;acertarei;acertarás;acertará;acertaremos;acertareis;acertarão;acerte;acertes;acerte;acertemos;acerteis;acertem;acertasse;acertasses;acertasse;acertássemos;acertásseis;acertassem;acertar;acertares;acertar;acertarmos;acertardes;acertarem;acertar;acertares;acertar;acertarmos;acertardes;acertarem;acertaria;acertarias;acertaria;acertaríamos;acertaríeis;acertariam;acerta;acerte;acertemos;acertai;acertem;acertes;acerte;acertemos;acerteis;acertem;acertando;acertado
misturar;;;R;misturo;misturas;mistura;misturamos;misturais;misturam;misturei;misturaste;misturou;misturámos;misturastes;misturaram;misturava;misturavas;misturava;misturávamos;misturáveis;misturavam;misturara;misturaras;misturara;misturáramos;misturáreis;misturaram;misturarei;misturarás;misturará;misturaremos;misturareis;misturarão;misture;mistures;misture;misturemos;mistureis;misturem;misturasse;misturasses;misturasse;misturássemos;misturásseis;misturassem;misturar;misturares;misturar;misturarmos;misturardes;misturarem;misturar;misturares;misturar;misturarmos;misturardes;misturarem;misturaria;misturarias;misturaria;misturaríamos;misturaríeis;misturariam;mistura;misture;misturemos;misturai;misturem;mistures;misture;misturemos;mistureis;misturem;misturando;misturado
despedir;;;I;despeço;despedes;despede;despedimos;despedis;despedem;despedi;despediste;despediu;despedimos;despedistes;despediram;despedia;despedias;despedia;despedíamos;despedíeis;despediam;despedira;despediras;despedira;despedíramos;despedíreis;despediram;despedirei;despedirás;despedirá;despediremos;despedireis;despedirão;despeça;despeças;despeça;despeçamos;despeçais;despeçam;despedisse;despedisses;despedisse;despedíssemos;despedísseis;despedissem;despedir;despedires;despedir;despedirmos;despedirdes;despedirem;despedir;despedires;despedir;despedirmos;despedirdes;despedirem;despediria;despedirias;despediria;despediríamos;despediríeis;despediriam;despede;despeça;despeçamos;despedi;despeçam;despeças;despeça;despeçamos;despeçais;despeçam;despedindo;despedido
superar;;;R;supero;superas;supera;superamos;superais;superam;superei;superaste;superou;superámos;superastes;superaram;superava;superavas;superava;superávamos;superáveis;superavam;superara;superaras;superara;superáramos;superáreis;superaram;superarei;superarás;superará;superaremos;superareis;superarão;supere;superes;supere;superemos;supereis;superem;superasse;superasses;superasse;superássemos;superásseis;superassem;superar;superares;superar;superarmos;superardes;superarem;superar;superares;superar;superarmos;superardes;superarem;superaria;superarias;superaria;superaríamos;superaríeis;superariam;supera;supere;superemos;superai;superem;superes;supere;superemos;supereis;superem;superando;superado
cultivar;;;R;cultivo;cultivas;cultiva;cultivamos;cultivais;cultivam;cultivei;cultivaste;cultivou;cultivámos;cultivastes;cultivaram;cultivava;cultivavas;cultivava;cultivávamos;cultiváveis;cultivavam;cultivara;cultivaras;cultivara;cultiváramos;cultiváreis;cultivaram;cultivarei;cultivarás;cultivará;cultivaremos;cultivareis;cultivarão;cultive;cultives;cultive;cultivemos;cultiveis;cultivem;cultivasse;cultivasses;cultivasse;cultivássemos;cultivásseis;cultivassem;cultivar;cultivares;cultivar;cultivarmos;cultivardes;cultivarem;cultivar;cultivares;cultivar;cultivarmos;cultivardes;cultivarem;cultivaria;cultivarias;cultivaria;cultivaríamos;cultivaríeis;cultivariam;cultiva;cultive;cultivemos;cultivai;cultivem;cultives;cultive;cultivemos;cultiveis;cultivem;cultivando;cultivado
agitar;;;R;agito;agitas;agita;agitamos;agitais;agitam;agitei;agitaste;agitou;agitámos;agitastes;agitaram;agitava;agitavas;agitava;agitávamos;agitáveis;agitavam;agitara;agitaras;agitara;agitáramos;agitáreis;agitaram;agitarei;agitarás;agitará;agitaremos;agitareis;agitarão;agite;agites;agite;agitemos;agiteis;agitem;agitasse;agitasses;agitasse;agitássemos;agitásseis;agitassem;agitar;agitares;agitar;agitarmos;agitardes;agitarem;agitar;agitares;agitar;agitarmos;agitardes;agitarem;agitaria;agitarias;agitaria;agitaríamos;agitaríeis;agitariam;agita;agite;agitemos;agitai;agitem;agites;agite;agitemos;agiteis;agitem;agitando;agitado
rever;;;I;revejo;revês;revê;revemos;revedes;reveem;revi;reviste;reviu;revimos;revistes;reviram;revia;revias;revia;revíamos;revíeis;reviam;revira;reviras;revira;revíramos;revíreis;reviram;reverei;reverás;reverá;reveremos;revereis;reverão;reveja;revejas;reveja;revejamos;revejais;revejam;revisse;revisses;revisse;revíssemos;revísseis;revissem;revir;revires;revir;revirmos;revirdes;revirem;rever;reveres;rever;revermos;reverdes;reverem;reveria;reverias;reveria;reveríamos;reveríeis;reveriam;revê;reveja;revejamos;revede;revejam;revejas;reveja;revejamos;revejais;revejam;revendo;revisto
orientar;;;R;oriento;orientas;orienta;orientamos;orientais;orientam;orientei;orientaste;orientou;orientámos;orientastes;orientaram;orientava;orientavas;orientava;orientávamos;orientáveis;orientavam;orientara;orientaras;orientara;orientáramos;orientáreis;orientaram;orientarei;orientarás;orientará;orientaremos;orientareis;orientarão;oriente;orientes;oriente;orientemos;orienteis;orientem;orientasse;orientasses;orientasse;orientássemos;orientásseis;orientassem;orientar;orientares;orientar;orientarmos;orientardes;orientarem;orientar;orientares;orientar;orientarmos;orientardes;orientarem;orientaria;orientarias;orientaria;orientaríamos;orientaríeis;orientariam;orienta;oriente;orientemos;orientai;orientem;orientes;oriente;orientemos;orienteis;orientem;orientando;orientado
animar;;;R;animo;animas;anima;animamos;animais;animam;animei;animaste;animou;animámos;animastes;animaram;animava;animavas;animava;animávamos;animáveis;animavam;animara;animaras;animara;animáramos;animáreis;animaram;animarei;animarás;animará;animaremos;animareis;animarão;anime;animes;anime;animemos;animeis;animem;animasse;animasses;animasse;animássemos;animásseis;animassem;animar;animares;animar;animarmos;animardes;animarem;animar;animares;animar;animarmos;animardes;animarem;animaria;animarias;animaria;animaríamos;animaríeis;animariam;anima;anime;animemos;animai;animem;animes;anime;animemos;animeis;animem;animando;animado
demitir;;;R;demito;demites;demite;demitimos;demitis;demitem;demiti;demitiste;demitiu;demitimos;demitistes;demitiram;demitia;demitias;demitia;demitíamos;demitíeis;demitiam;demitira;demitiras;demitira;demitíramos;demitíreis;demitiram;demitirei;demitirás;demitirá;demitiremos;demitireis;demitirão;demita;demitas;demita;demitamos;demitais;demitam;demitisse;demitisses;demitisse;demitíssemos;demitísseis;demitissem;demitir;demitires;demitir;demitirmos;demitirdes;demitirem;demitir;demitires;demitir;demitirmos;demitirdes;demitirem;demitiria;demitirias;demitiria;demitiríamos;demitiríeis;demitiriam;demite;demita;demitamos;demiti;demitam;demitas;demita;demitamos;demitais;demitam;demitindo;demitido
assentar;;;R;assento;assentas;assenta;assentamos;assentais;assentam;assentei;assentaste;assentou;assentámos;assentastes;assentaram;assentava;assentavas;assentava;assentávamos;assentáveis;assentavam;assentara;assentaras;assentara;assentáramos;assentáreis;assentaram;assentarei;assentarás;assentará;assentaremos;assentareis;assentarão;assente;assentes;assente;assentemos;assenteis;assentem;assentasse;assentasses;assentasse;assentássemos;assentásseis;assentassem;assentar;assentares;assentar;assentarmos;assentardes;assentarem;assentar;assentares;assentar;assentarmos;assentardes;assentarem;assentaria;assentarias;assentaria;assentaríamos;assentaríeis;assentariam;assenta;assente;assentemos;assentai;assentem;assentes;assente;assentemos;assenteis;assentem;assentando;assentado
possibilitar;;;R;possibilito;possibilitas;possibilita;possibilitamos;possibilitais;possibilitam;possibilitei;possibilitaste;possibilitou;possibilitámos;possibilitastes;possibilitaram;possibilitava;possibilitavas;possibilitava;possibilitávamos;possibilitáveis;possibilitavam;possibilitara;possibilitaras;possibilitara;possibilitáramos;possibilitáreis;possibilitaram;possibilitarei;possibilitarás;possibilitará;possibilitaremos;possibilitareis;possibilitarão;possibilite;possibilites;possibilite;possibilitemos;possibiliteis;possibilitem;possibilitasse;possibilitasses;possibilitasse;possibilitássemos;possibilitásseis;possibilitassem;possibilitar;possibilitares;possibilitar;possibilitarmos;possibilitardes;possibilitarem;possibilitar;possibilitares;possibilitar;possibilitarmos;possibilitardes;possibilitarem;possibilitaria;possibilitarias;possibilitaria;possibilitaríamos;possibilitaríeis;possibilitariam;possibilita;possibilite;possibilitemos;possibilitai;possibilitem;possibilites;possibilite;possibilitemos;possibiliteis;possibilitem;possibilitando;possibilitado
proporcionar;;;R;proporciono;proporcionas;proporciona;proporcionamos;proporcionais;proporcionam;proporcionei;proporcionaste;proporcionou;proporcionámos;proporcionastes;proporcionaram;proporcionava;proporcionavas;proporcionava;proporcionávamos;proporcionáveis;proporcionavam;proporcionara;proporcionaras;proporcionara;proporcionáramos;proporcionáreis;proporcionaram;proporcionarei;proporcionarás;proporcionará;proporcionaremos;proporcionareis;proporcionarão;proporcione;proporciones;proporcione;proporcionemos;proporcioneis;proporcionem;proporcionasse;proporcionasses;proporcionasse;proporcionássemos;proporcionásseis;proporcionassem;proporcionar;proporcionares;proporcionar;proporcionarmos;proporcionardes;proporcionarem;proporcionar;proporcionares;proporcionar;proporcionarmos;proporcionardes;proporcionarem;proporcionaria;proporcionarias;proporcionaria;proporcionaríamos;proporcionaríeis;proporcionariam;proporciona;proporcione;proporcionemos;proporcionai;proporcionem;proporciones;proporcione;proporcionemos;proporcioneis;proporcionem;proporcionando;proporcionado
inaugurar;;;R;inauguro;inauguras;inaugura;inauguramos;inaugurais;inauguram;inaugurei;inauguraste;inaugurou;inaugurámos;inaugurastes;inauguraram;inaugurava;inauguravas;inaugurava;inaugurávamos;inauguráveis;inauguravam;inaugurara;inauguraras;inaugurara;inauguráramos;inauguráreis;inauguraram;inaugurarei;inaugurarás;inaugurará;inauguraremos;inaugurareis;inaugurarão;inaugure;inaugures;inaugure;inauguremos;inaugureis;inaugurem;inaugurasse;inaugurasses;inaugurasse;inaugurássemos;inaugurásseis;inaugurassem;inaugurar;inaugurares;inaugurar;inaugurarmos;inaugurardes;inaugurarem;inaugurar;inaugurares;inaugurar;inaugurarmos;inaugurardes;inaugurarem;inauguraria;inaugurarias;inauguraria;inauguraríamos;inauguraríeis;inaugurariam;inaugura;inaugure;inauguremos;inaugurai;inaugurem;inaugures;inaugure;inauguremos;inaugureis;inaugurem;inaugurando;inaugurado
beijar;;;R;beijo;beijas;beija;beijamos;beijais;beijam;beijei;beijaste;beijou;beijámos;beijastes;beijaram;beijava;beijavas;beijava;beijávamos;beijáveis;beijavam;beijara;beijaras;beijara;beijáramos;beijáreis;beijaram;beijarei;beijarás;beijará;beijaremos;beijareis;beijarão;beije;beijes;beije;beijemos;beijeis;beijem;beijasse;beijasses;beijasse;beijássemos;beijásseis;beijassem;beijar;beijares;beijar;beijarmos;beijardes;beijarem;beijar;beijares;beijar;beijarmos;beijardes;beijarem;beijaria;beijarias;beijaria;beijaríamos;beijaríeis;beijariam;beija;beije;beijemos;beijai;beijem;beijes;beije;beijemos;beijeis;beijem;beijando;beijado
autorizar;;;R;autorizo;autorizas;autoriza;autorizamos;autorizais;autorizam;autorizei;autorizaste;autorizou;autorizámos;autorizastes;autorizaram;autorizava;autorizavas;autorizava;autorizávamos;autorizáveis;autorizavam;autorizara;autorizaras;autorizara;autorizáramos;autorizáreis;autorizaram;autorizarei;autorizarás;autorizará;autorizaremos;autorizareis;autorizarão;autorize;autorizes;autorize;autorizemos;autorizeis;autorizem;autorizasse;autorizasses;autorizasse;autorizássemos;autorizásseis;autorizassem;autorizar;autorizares;autorizar;autorizarmos;autorizardes;autorizarem;autorizar;autorizares;autorizar;autorizarmos;autorizardes;autorizarem;autorizaria;autorizarias;autorizaria;autorizaríamos;autorizaríeis;autorizariam;autoriza;autorize;autorizemos;autorizai;autorizem;autorizes;autorize;autorizemos;autorizeis;autorizem;autorizando;autorizado
desfazer;;;I;desfaço;desfazes;desfaz;desfazemos;desfazeis;desfazem;desfiz;desfizeste;desfez;desfizemos;desfizestes;desfizeram;desfazia;desfazias;desfazia;desfazíamos;desfazíeis;desfaziam;desfizera;desfizeras;desfizera;desfizéramos;desfizéreis;desfizeram;desfarei;desfarás;desfará;desfaremos;desfareis;desfarão;desfaça;desfaças;desfaça;desfaçamos;desfaçais;desfaçam;desfizesse;desfizesses;desfizesse;desfizéssemos;desfizésseis;desfizessem;desfizer;desfizeres;desfizer;desfizermos;desfizerdes;desfizerem;desfazer;desfazeres;desfazer;desfazermos;desfazerdes;desfazerem;desfaria;desfarias;desfaria;desfaríamos;desfaríeis;desfariam;desfaze;desfaça;desfaçamos;desfazei;desfaçam;desfaças;desfaça;desfaçamos;desfaçais;desfaçam;desfazendo;desfeito
converter;;;R;converto;convertes;converte;convertemos;converteis;convertem;converti;converteste;converteu;convertemos;convertestes;converteram;convertia;convertias;convertia;convertíamos;convertíeis;convertiam;convertera;converteras;convertera;convertêramos;convertêreis;converteram;converterei;converterás;converterá;converteremos;convertereis;converterão;converta;convertas;converta;convertamos;convertais;convertam;convertesse;convertesses;convertesse;convertêssemos;convertêsseis;convertessem;converter;converteres;converter;convertermos;converterdes;converterem;converter;converteres;converter;convertermos;converterdes;converterem;converteria;converterias;converteria;converteríamos;converteríeis;converteriam;converte;converta;convertamos;convertei;convertam;convertas;converta;convertamos;convertais;convertam;convertendo;convertido
consumir;;;I;consumo;consomes;consome;consumimos;consumis;consomem;consumi;consumiste;consumiu;consumimos;consumistes;consumiram;consumia;consumias;consumia;consumíamos;consumíeis;consumiam;consumira;consumiras;consumira;consumíramos;consumíreis;consumiram;consumirei;consumirás;consumirá;consumiremos;consumireis;consumirão;consuma;consumas;consuma;consumamos;consumais;consumam;consumisse;consumisses;consumisse;consumíssemos;consumísseis;consumissem;consumir;consumires;consumir;consumirmos;consumirdes;consumirem;consumir;consumires;consumir;consumirmos;consumirdes;consumirem;consumiria;consumirias;consumiria;consumiríamos;consumiríeis;consumiriam;consome;consuma;consumamos;consumi;consumam;consumas;consuma;consumamos;consumais;consumam;consumindo;consumido
estimular;;;R;estimulo;estimulas;estimula;estimulamos;estimulais;estimulam;estimulei;estimulaste;estimulou;estimulámos;estimulastes;estimularam;estimulava;estimulavas;estimulava;estimulávamos;estimuláveis;estimulavam;estimulara;estimularas;estimulara;estimuláramos;estimuláreis;estimularam;estimularei;estimularás;estimulará;estimularemos;estimulareis;estimularão;estimule;estimules;estimule;estimulemos;estimuleis;estimulem;estimulasse;estimulasses;estimulasse;estimulássemos;estimulásseis;estimulassem;estimular;estimulares;estimular;estimularmos;estimulardes;estimularem;estimular;estimulares;estimular;estimularmos;estimulardes;estimularem;estimularia;estimularias;estimularia;estimularíamos;estimularíeis;estimulariam;estimula;estimule;estimulemos;estimulai;estimulem;estimules;estimule;estimulemos;estimuleis;estimulem;estimulando;estimulado
